Тип документа,Адрес,Район,Номер распоряжения,Дата распоряжения,Площадь,Идентификатор
4. Постановление Правительства СПб. об утверждении,кв. 2А пос. Металлострой,Колпинский,618,29.05.2007,26.5,4014
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная ул. Ленсовета, Дунайским пр., Московским шоссе, Звездной ул.",Московский,513,27.04.2010,6.7,4015
4. Постановление Правительства СПб. об утверждении,"квартал 11 района восточнее Витебской ж/д, ограниченный ул. Турку, Пражской ул., пр. Славы и бухарестс",Фрунзенский,617,29.05.2007,44,4019
4. Постановление Правительства СПб. об утверждении,"территория, ограниченная направлением Окт. ж.д., ул. Орджоникидзе и проездом вдоль Витебского пр.",Московский,332,28.03.2007,10.4,4020
4. Постановление Правительства СПб. об утверждении,квартал № 46 района Ржевка-Пороховые,Красногвардейский,820,10.07.2007,14.3,4021
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная Гражданской ул., 1-м Путейским пер., Путейской ул., Кривоносовской ул.",Курортный,675,25.05.2010,2,4033
4. Постановление Правительства СПб. об утверждении,"территория, ограниченная Волхонским шоссе, Заводской ул., ул. Грибоедова и проектируемым проездом межд",Петродворцовый,1503,20.11.2007,20,4036
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная ул. Морского Десанта, Разводной ул., Санкт-Петербургским шоссе., Фабричной ул",Петродворцовый,739,07.06.2010,39.5,4042
4. Постановление Правительства СПб. об утверждении,"ограниченная Ермоловским пр., проектным продолжением ул. Борисова, наб. р. Сестры, ул. Володарского, п",Курортный,868,29.06.2010,57,4061
4. Постановление Правительства СПб. об утверждении,"квартала 34 В района Озеро Долгое, ограниченного Шуваловским пр., пр. Авиаконструкторов, ул. Шаврова и",Приморский,1471,13.11.2007,12.6,4062
4. Постановление Правительства СПб. об утверждении,"кв. 25А района Шувалово-Озерки, ограниченного пр. Просвещения, ул. Руднева, Поэтическим бульваром и ул",Выборгский,1006,12.08.2008,19.7,4063
4. Постановление Правительства СПб. об утверждении,"квартал 1 района Шувалово-Озерки, ограниченный Суздальским пр., ул. Композиторов, ул. Прокофьева и ул.",Выборгский,1110,04.09.2007,7.1,4064
4. Постановление Правительства СПб. об утверждении,"территория, ограниченная Полюстровским пр., Кантемировской ул. и ул. Харченко",Выборгский,1109,04.09.2007,15.6,4065
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная Мурзинской ул., Караваевской ул., ул. Юннатов и отводом Окт. ж.д.",Невский,213,26.02.2008,15.5,4069
4. Постановление Правительства СПб. об утверждении,"ограниченная Лиговским пр., ул. Некрасова, Греческим пр., Прудковским пер., Греческой пл.",Центральный,45,18.01.2011,4.6,4072
4. Постановление Правительства СПб. об утверждении,"ограниченного ул. Евдокима Огнева, Дальневосточным пр., ул. Крыленко и Искровским пр.",Невский,1616,11.12.2007,11.9,4078
4. Постановление Правительства СПб. об утверждении," квартала 20 Приморской Юго-западной части (ЮЗПЧ), ограниченный пр. Героев, Ленинским пр., проездом б/",Красносельский,1657,22.12.2008,50.6,4085
4. Постановление Правительства СПб. об утверждении,"территории, ограниченной Трамвайным пр., проездом, Автомобильной ул., пр. Народного ополчения",Кировский,1519,22.12.2009,11.2,4091
4. Постановление Правительства СПб. об утверждении,"квартал 21 ЮЗПЧ, ограниченный продолжением ул. Маршала Казакова, продолжением ул. Доблести, продолжени",Красносельский,974,05.08.2008,39.1,4093
4. Постановление Правительства СПб. об утверждении,"ограниченная Таврической ул., Таврическим пер., проектируемыми проездами, Кавалерградской ул., Шпалерн",Центральный,1756,21.12.2010,3,4101
4. Постановление Правительства СПб. об утверждении,"территория, ограниченная внутриквартальным проездом, ул. Есенина и пр. М. Тореза",Выборгский,1111,04.09.2007,2.7,4103
4. Постановление Правительства СПб. об утверждении,"территория, ограниченная Республиканской ул., Новочеркасским пр., Перевозным пер., наб. реки Невы",Красногвардейский,1195,18.09.2007,16.7,4106
4. Постановление Правительства СПб. об утверждении,Невской губы Финского залива западнее Васильевского острова,Василеостровский,1430,13.11.2007,420.8,4107
4. Постановление Правительства СПб. об утверждении,"ограниченная пр. Науки, Приозерским направлением ж.д., Пискаревским пр. и ул. Руставели",Калининский,433,16.04.2008,25.2,4108
4. Постановление Правительства СПб. об утверждении,"ограниченного ул. Евдокима Огнева, пр. Большевиков, ул. Крыленко и Искровским пр.",Невский,1615,11.12.2007,13.1,4110
4. Постановление Правительства СПб. об утверждении,"квартала 3 н/з ""Ручьи"", ограниченного Пискаревским направлением ж.д.,Пискаревским пр., проездом от нас",Красногвардейский,896,22.07.2008,77.1,4111
4. Постановление Правительства СПб. об утверждении,"квартал 7 н/з ""Парнас"", ограниченный 5-м Верхним проездом, Домостроительной ул., 6-м Верхним пр., пр. ",Выборгский,1215,18.09.2007,55.5,4112
